"cod_municipio";"pea_total";"ano_base_pea";"populacao";"ano_base_pop";"pib_total_reais";"ano_base_pib";"num_supermercados";"supermercados_pessoal_ocupado";"supermercados_massa_salarial_reais";"ano_base_supermercados";"atualizado_em"
"1100015";"10526,00";"2010";"21494,00";"2022";"919520000,00";"2022";"7";"0";"0,00";"2024";"21/07/2026 15:42:52"
"1100023";"45162,00";"2010";"96833,00";"2022";"3809355000,00";"2022";"28";"537";"13144000,00";"2024";"21/07/2026 15:42:52"
"1100031";"2867,00";"2010";"5351,00";"2022";"289783000,00";"2022";"3";"15";"218000,00";"2024";"21/07/2026 15:42:52"
"1100049";"39977,00";"2010";"86887,00";"2022";"3195489000,00";"2022";"16";"242";"6465000,00";"2024";"21/07/2026 15:42:52"
"1100056";"8670,00";"2010";"15890,00";"2022";"903099000,00";"2022";"5";"57";"1161000,00";"2024";"21/07/2026 15:42:52"
"1100064";"8837,00";"2010";"15663,00";"2022";"514219000,00";"2022";"7";"67";"1496000,00";"2024";"21/07/2026 15:42:52"
"1100072";"4243,00";"2010";"7519,00";"2022";"473845000,00";"2022";"3";"40";"766000,00";"2024";"21/07/2026 15:42:52"
"1100080";"6262,00";"2010";"12627,00";"2022";"349796000,00";"2022";"15";"33";"292000,00";"2024";"21/07/2026 15:42:52"
"1100098";"15048,00";"2010";"29414,00";"2022";"921382000,00";"2022";"8";"0";"0,00";"2024";"21/07/2026 15:42:52"
"1100106";"16843,00";"2010";"39387,00";"2022";"1057883000,00";"2022";"9";"25";"391000,00";"2024";"21/07/2026 15:42:52"
"1100114";"24719,00";"2010";"50591,00";"2022";"2113515000,00";"2022";"19";"9673";"358167000,00";"2024";"21/07/2026 15:42:52"
"1100122";"60167,00";"2010";"124333,00";"2022";"4934532000,00";"2022";"35";"1282";"33553000,00";"2024";"21/07/2026 15:42:52"
"1100130";"14908,00";"2010";"30707,00";"2022";"909027000,00";"2022";"9";"111";"1430000,00";"2024";"21/07/2026 15:42:52"
"1100148";"10169,00";"2010";"15679,00";"2022";"641839000,00";"2022";"7";"83";"1762000,00";"2024";"21/07/2026 15:42:52"
"1100155";"19181,00";"2010";"35044,00";"2022";"1089382000,00";"2022";"12";"61";"1098000,00";"2024";"21/07/2026 15:42:52"
"1100189";"18255,00";"2010";"35079,00";"2022";"1714400000,00";"2022";"8";"236";"4384000,00";"2024";"21/07/2026 15:42:52"
"1100205";"214877,00";"2010";"460434,00";"2022";"22537533000,00";"2022";"53";"587";"17235000,00";"2024";"21/07/2026 15:42:52"
"1100254";"11553,00";"2010";"19327,00";"2022";"653357000,00";"2022";"8";"99";"2170000,00";"2024";"21/07/2026 15:42:52"
"1100262";"1360,00";"2010";"3471,00";"2022";"265661000,00";"2022";"2";"0";"0,00";"2024";"21/07/2026 15:42:52"
"1100288";"25269,00";"2010";"56406,00";"2022";"1906485000,00";"2022";"4";"161";"3042000,00";"2024";"21/07/2026 15:42:52"
