"uf";"nome_norm";"cod_municipio";"origem"
"AC";"ACRELÂNDIA";"1200013";"IBGE"
"AC";"ASSIS BRASIL";"1200054";"IBGE"
"AC";"BRASILÉIA";"1200104";"IBGE"
"AC";"BUJARI";"1200138";"IBGE"
"AC";"CAPIXABA";"1200179";"IBGE"
"AC";"CRUZEIRO DO SUL";"1200203";"IBGE"
"AC";"EPITACIOLÂNDIA";"1200252";"IBGE"
"AC";"FEIJÓ";"1200302";"IBGE"
"AC";"JORDÃO";"1200328";"IBGE"
"AC";"MÂNCIO LIMA";"1200336";"IBGE"
"AC";"MANOEL URBANO";"1200344";"IBGE"
"AC";"MARECHAL THAUMATURGO";"1200351";"IBGE"
"AC";"PLÁCIDO DE CASTRO";"1200385";"IBGE"
"AC";"PORTO ACRE";"1200807";"IBGE"
"AC";"PORTO WALTER";"1200393";"IBGE"
"AC";"RIO BRANCO";"1200401";"IBGE"
"AC";"RODRIGUES ALVES";"1200427";"IBGE"
"AC";"SANTA ROSA DO PURUS";"1200435";"IBGE"
"AC";"SENA MADUREIRA";"1200500";"IBGE"
"AC";"SENADOR GUIOMARD";"1200450";"IBGE"
"AC";"TARAUACÁ";"1200609";"IBGE"
"AC";"XAPURI";"1200708";"IBGE"
"AL";"ÁGUA BRANCA";"2700102";"IBGE"
"AL";"ANADIA";"2700201";"IBGE"
"AL";"ARAPIRACA";"2700300";"IBGE"
"AL";"ATALAIA";"2700409";"IBGE"
"AL";"BARRA DE SANTO ANTÔNIO";"2700508";"IBGE"
"AL";"BARRA DE SÃO MIGUEL";"2700607";"IBGE"
"AL";"BATALHA";"2700706";"IBGE"
"AL";"BELÉM";"2700805";"IBGE"
"AL";"BELO MONTE";"2700904";"IBGE"
"AL";"BOCA DA MATA";"2701001";"IBGE"
"AL";"BRANQUINHA";"2701100";"IBGE"
"AL";"CACIMBINHAS";"2701209";"IBGE"
"AL";"CAJUEIRO";"2701308";"IBGE"
"AL";"CAMPESTRE";"2701357";"IBGE"
"AL";"CAMPO ALEGRE";"2701407";"IBGE"
"AL";"CAMPO GRANDE";"2701506";"IBGE"
"AL";"CANAPI";"2701605";"IBGE"
"AL";"CAPELA";"2701704";"IBGE"
"AL";"CARNEIROS";"2701803";"IBGE"
"AL";"CHÃ PRETA";"2701902";"IBGE"
"AL";"COITÉ DO NÓIA";"2702009";"IBGE"
"AL";"COLÔNIA LEOPOLDINA";"2702108";"IBGE"
"AL";"COQUEIRO SECO";"2702207";"IBGE"
"AL";"CORURIPE";"2702306";"IBGE"
"AL";"CRAÍBAS";"2702355";"IBGE"
"AL";"DELMIRO GOUVEIA";"2702405";"IBGE"
"AL";"DOIS RIACHOS";"2702504";"IBGE"
"AL";"ESTRELA DE ALAGOAS";"2702553";"IBGE"
"AL";"FEIRA GRANDE";"2702603";"IBGE"
"AL";"FELIZ DESERTO";"2702702";"IBGE"
"AL";"FLEXEIRAS";"2702801";"IBGE"
"AL";"GIRAU DO PONCIANO";"2702900";"IBGE"
"AL";"IBATEGUARA";"2703007";"IBGE"
"AL";"IGACI";"2703106";"IBGE"
"AL";"IGREJA NOVA";"2703205";"IBGE"
"AL";"INHAPI";"2703304";"IBGE"
"AL";"JACARÉ DOS HOMENS";"2703403";"IBGE"
"AL";"JACUÍPE";"2703502";"IBGE"
"AL";"JAPARATINGA";"2703601";"IBGE"
"AL";"JARAMATAIA";"2703700";"IBGE"
"AL";"JEQUIÁ DA PRAIA";"2703759";"IBGE"
"AL";"JOAQUIM GOMES";"2703809";"IBGE"
"AL";"JUNDIÁ";"2703908";"IBGE"
"AL";"JUNQUEIRO";"2704005";"IBGE"
"AL";"LAGOA DA CANOA";"2704104";"IBGE"
"AL";"LIMOEIRO DE ANADIA";"2704203";"IBGE"
"AL";"MACEIÓ";"2704302";"IBGE"
"AL";"MAJOR ISIDORO";"2704401";"IBGE"
"AL";"MAR VERMELHO";"2704906";"IBGE"
"AL";"MARAGOGI";"2704500";"IBGE"
"AL";"MARAVILHA";"2704609";"IBGE"
"AL";"MARECHAL DEODORO";"2704708";"IBGE"
"AL";"MARIBONDO";"2704807";"IBGE"
"AL";"MATA GRANDE";"2705002";"IBGE"
"AL";"MATRIZ DE CAMARAGIBE";"2705101";"IBGE"
"AL";"MESSIAS";"2705200";"IBGE"
"AL";"MINADOR DO NEGRÃO";"2705309";"IBGE"
"AL";"MONTEIRÓPOLIS";"2705408";"IBGE"
"AL";"MURICI";"2705507";"IBGE"
"AL";"NOVO LINO";"2705606";"IBGE"
"AL";"OLHO D ÁGUA DAS FLORES";"2705705";"IBGE"
"AL";"OLHO D ÁGUA DO CASADO";"2705804";"IBGE"
"AL";"OLHO D ÁGUA GRANDE";"2705903";"IBGE"
"AL";"OLIVENÇA";"2706000";"IBGE"
"AL";"OURO BRANCO";"2706109";"IBGE"
"AL";"PALESTINA";"2706208";"IBGE"
"AL";"PALMEIRA DOS ÍNDIOS";"2706307";"IBGE"
"AL";"PÃO DE AÇÚCAR";"2706406";"IBGE"
"AL";"PARICONHA";"2706422";"IBGE"
"AL";"PARIPUEIRA";"2706448";"IBGE"
"AL";"PASSO DE CAMARAGIBE";"2706505";"IBGE"
"AL";"PAULO JACINTO";"2706604";"IBGE"
"AL";"PENEDO";"2706703";"IBGE"
"AL";"PIAÇABUÇU";"2706802";"IBGE"
"AL";"PILAR";"2706901";"IBGE"
"AL";"PINDOBA";"2707008";"IBGE"
"AL";"PIRANHAS";"2707107";"IBGE"
"AL";"POÇO DAS TRINCHEIRAS";"2707206";"IBGE"
"AL";"PORTO CALVO";"2707305";"IBGE"
"AL";"PORTO DE PEDRAS";"2707404";"IBGE"
"AL";"PORTO REAL DO COLÉGIO";"2707503";"IBGE"
"AL";"QUEBRANGULO";"2707602";"IBGE"
"AL";"RIO LARGO";"2707701";"IBGE"
"AL";"ROTEIRO";"2707800";"IBGE"
"AL";"SANTA LUZIA DO NORTE";"2707909";"IBGE"
"AL";"SANTANA DO IPANEMA";"2708006";"IBGE"
"AL";"SANTANA DO MUNDAÚ";"2708105";"IBGE"
"AL";"SÃO BRÁS";"2708204";"IBGE"
"AL";"SÃO JOSÉ DA LAJE";"2708303";"IBGE"
"AL";"SÃO JOSÉ DA TAPERA";"2708402";"IBGE"
"AL";"SÃO LUÍS DO QUITUNDE";"2708501";"IBGE"
"AL";"SÃO MIGUEL DOS CAMPOS";"2708600";"IBGE"
"AL";"SÃO MIGUEL DOS MILAGRES";"2708709";"IBGE"
"AL";"SÃO SEBASTIÃO";"2708808";"IBGE"
"AL";"SATUBA";"2708907";"IBGE"
"AL";"SENADOR RUI PALMEIRA";"2708956";"IBGE"
"AL";"TANQUE D ARCA";"2709004";"IBGE"
"AL";"TAQUARANA";"2709103";"IBGE"
"AL";"TEOTÔNIO VILELA";"2709152";"IBGE"
"AL";"TRAIPU";"2709202";"IBGE"
"AL";"UNIÃO DOS PALMARES";"2709301";"IBGE"
"AL";"VIÇOSA";"2709400";"IBGE"
"AM";"ALVARÃES";"1300029";"IBGE"
"AM";"AMATURÁ";"1300060";"IBGE"
"AM";"ANAMÃ";"1300086";"IBGE"
"AM";"ANORI";"1300102";"IBGE"
"AM";"APUÍ";"1300144";"IBGE"
"AM";"ATALAIA DO NORTE";"1300201";"IBGE"
"AM";"AUTAZES";"1300300";"IBGE"
"AM";"BARCELOS";"1300409";"IBGE"
"AM";"BARREIRINHA";"1300508";"IBGE"
"AM";"BENJAMIN CONSTANT";"1300607";"IBGE"
"AM";"BERURI";"1300631";"IBGE"
