"uf";"estado";"regiao";"populacao";"pib_milhoes";"pib_per_capita";"pct_pib_nacional";"pct_populacao_nacional";"num_pdvs";"pct_pdvs_nacional";"ipm";"ranking_potencial";"ano_base_pop";"ano_base_pib";"ano_base_pdvs";"peso_pib";"peso_pop";"peso_pdvs";"atualizado_em"
"AC";"Acre";"Norte";"884372";"26291,00";"29728,440068";"0,0024024645";"0,0041437902";"640";"0,0036015757";"0,3470196347";"26";"2025";"2023";"2021";"0,2000";"0,2000";"0,6000";"26/08/2026 12:32:30"
"AL";"Alagoas";"Nordeste";"3220848";"89689,00";"27846,393248";"0,0081957566";"0,0150915207";"2423";"0,0136353405";"1,2838659735";"21";"2025";"2023";"2021";"0,2000";"0,2000";"0,6000";"26/08/2026 12:32:30"
"AM";"Amazonas";"Norte";"4321616";"161795,00";"37438,541509";"0,0147847834";"0,0202492503";"2641";"0,0148621272";"1,5924083046";"18";"2025";"2023";"2021";"0,2000";"0,2000";"0,6000";"26/08/2026 12:32:30"
"AP";"Amapá";"Norte";"806517";"28020,00";"34741,983120";"0,0025604600";"0,0037789949";"671";"0,0037760270";"0,3533507183";"25";"2025";"2023";"2021";"0,2000";"0,2000";"0,6000";"26/08/2026 12:32:30"
"BA";"Bahia";"Nordeste";"14870907";"430988,00";"28981,957859";"0,0393835670";"0,0696787309";"15247";"0,0858019133";"7,3293607570";"3";"2025";"2023";"2021";"0,2000";"0,2000";"0,6000";"26/08/2026 12:32:30"
"CE";"Ceará";"Nordeste";"9268836";"232239,00";"25055,896986";"0,0212219371";"0,0434298143";"9302";"0,0523466517";"4,4338341263";"7";"2025";"2023";"2021";"0,2000";"0,2000";"0,6000";"26/08/2026 12:32:30"
"DF";"Distrito Federal";"Centro-Oeste";"2996899";"365669,00";"122015,790322";"0,0334147344";"0,0140421912";"2231";"0,0125548678";"1,7024305765";"17";"2025";"2023";"2021";"0,2000";"0,2000";"0,6000";"26/08/2026 12:32:30"
"ES";"Espírito Santo";"Sudeste";"4126854";"209830,00";"50845,026260";"0,0191742087";"0,0193366786";"2932";"0,0164997186";"1,7602008636";"16";"2025";"2023";"2021";"0,2000";"0,2000";"0,6000";"26/08/2026 12:32:30"
"GO";"Goiás";"Centro-Oeste";"7423629";"336747,00";"45361,507155";"0,0307718499";"0,0347839609";"7889";"0,0443950478";"3,9748190845";"9";"2025";"2023";"2021";"0,2000";"0,2000";"0,6000";"26/08/2026 12:32:30"
"MA";"Maranhão";"Nordeste";"7018211";"149227,00";"21262,826096";"0,0136363229";"0,0328843449";"5362";"0,0301744513";"2,7408804369";"12";"2025";"2023";"2021";"0,2000";"0,2000";"0,6000";"26/08/2026 12:32:30"
